cuaderno	celda	idx	seccion	tipo	ancho	alto	KB
C1	38	0	② Mostrar una muestra del dataset (`plt`)	png	827	648	15
C1	40	0	③ Pre-proceso / limpieza de la imagen	png	1727	670	29
C1	42	0	④ Sobel clásico: `Gx`, `Gy` y la magnitud `|Gx|+|Gy|` — *antes → despu	jpeg	1600	1709	345
C1	43	0	④ Sobel clásico: `Gx`, `Gy` y la magnitud `|Gx|+|Gy|` — *antes → despu	jpeg	1600	684	65
C1	46	0	Ejercicio — las 8 máscaras compass aplicadas a las 4 imágenes = **32 i	jpeg	1600	815	183
C1	48	0	Ejercicio 2 (DIRECCIONAL) — `Gx`, `Gy` y `√(Gx²+Gy²)` sobre 4 imágenes	jpeg	1479	753	132
C1	50	0	Parte 8 (transpuesta, widescreen) — 4 filas `[Compass, Gx, Gy, √(Gx²+G	jpeg	1500	733	84
C1	50	1	Parte 8 (transpuesta, widescreen) — 4 filas `[Compass, Gx, Gy, √(Gx²+G	jpeg	1600	782	291
C1	50	2	Parte 8 (transpuesta, widescreen) — 4 filas `[Compass, Gx, Gy, √(Gx²+G	jpeg	1500	722	101
C1	50	3	Parte 8 (transpuesta, widescreen) — 4 filas `[Compass, Gx, Gy, √(Gx²+G	jpeg	1500	800	90
C1	50	4	Parte 8 (transpuesta, widescreen) — 4 filas `[Compass, Gx, Gy, √(Gx²+G	jpeg	1600	755	145
C1	52	0	Parte 9 — El filtro **Canny** (con kernel **3×3**, para el chip)	png	1500	763	60
C1	54	0	Review — ¿por qué Canny "fallaba" en butterfly y no en monarch?	png	1500	1308	201
C1	56	0	¿95%? — densidad ≠ exactitud, y la receta que **CONECTA** bordes	png	1500	405	22
C1	56	1	¿95%? — densidad ≠ exactitud, y la receta que **CONECTA** bordes	png	1500	405	22
C1	58	0	Parte 10 — Automatización de umbrales (Otsu) + función de transferenci	png	1352	588	20
C1	58	1	Parte 10 — Automatización de umbrales (Otsu) + función de transferenci	jpeg	1600	1220	291
C1	60	0	6) ¿Y el operador `%`? ¿y el 95%?	jpeg	1600	484	37
C1	62	0	Parte 12 — Sobel **8 compass + dirección** y Canny **3×3 / 5×5 / 7×7**	jpeg	1600	456	133
C1	62	1	Parte 12 — Sobel **8 compass + dirección** y Canny **3×3 / 5×5 / 7×7**	png	1500	149	7
C1	63	0	Parte 12 — Sobel **8 compass + dirección** y Canny **3×3 / 5×5 / 7×7**	png	1500	1361	122
C1	65	0	Parte 12.B — Sobel compass+direccional `[Compass, Gx, Gy, √(Gx²+Gy²)]`	jpeg	1056	1536	118
C1	65	1	Parte 12.B — Sobel compass+direccional `[Compass, Gx, Gy, √(Gx²+Gy²)]`	jpeg	1056	1536	408
C1	65	2	Parte 12.B — Sobel compass+direccional `[Compass, Gx, Gy, √(Gx²+Gy²)]`	jpeg	1078	1530	183
C1	65	3	Parte 12.B — Sobel compass+direccional `[Compass, Gx, Gy, √(Gx²+Gy²)]`	png	907	1536	309
C1	65	4	Parte 12.B — Sobel compass+direccional `[Compass, Gx, Gy, √(Gx²+Gy²)]`	jpeg	1078	1508	233
C1	67	0	Parte 13 — Canny en streaming (Verilog `canny_control.sv`): histéresis	png	1500	359	24
C1	77	0	Parte 15 — **Framebuffer** y **DMA desde RAM** (`peripheral_sobel_fb.v	png	1308	538	13
C1	81	0	16.B — Verilog: **framebuffer** (`tb_cmp_fb.sv`)	png	1308	538	15
C1	84	0	Lo único que falta para 160×120 real	jpeg	1266	1068	285
C1	90	0	4. Lo que enseña este camino (para la defensa)	png	979	363	14
C1	96	0	La **mano** entra al notebook — de la FPGA al modelo golden	jpeg	1267	1068	281
C1	99	0	23.A — El pipeline `ra → a1 → a2`, ciclo por ciclo	png	1638	780	63
C1	101	0	⏱ 23.B — El cruce de dominios de reloj (CDC)	png	1528	649	62
C1	104	0	4. El experimento — filtro **Sobel en vivo** sobre 6 objetos (capturas	jpeg	1009	837	192
C1	106	0	3. El experimento — Canny 1-salto sobre 6 objetos (capturas reales en 	jpeg	968	837	148
C1	108	0	2. La prueba de la conectividad — un contorno **cerrado	jpeg	369	501	18
C1	110	0	4. La trilogía completa (los mismos objetos, en tu FPGA)	jpeg	1011	837	117
C1	112	0	Lo que esta figura demuestra (para la defensa)	jpeg	855	1439	244
C1	115	0	Dos ventanas del mismo VCD: el pipeline llenándose y luego computando	jpeg	1492	872	236
C1	116	0	Dos ventanas del mismo VCD: el pipeline llenándose y luego computando	jpeg	1402	869	212
C1	118	0	Parte 30 — Verificación por **simulación** (iverilog): el RTL == el mo	png	916	1131	75
C1	120	0	Las señales, agrupadas (bajo `tb_canny_wave → dut`)	png	1458	869	44
C1	122	0	Capturas reales de GTKWave (3 vistas del mismo `out/canny_wave.vcd`)	jpeg	1361	828	150
C1	123	0	Capturas reales de GTKWave (3 vistas del mismo `out/canny_wave.vcd`)	jpeg	1361	828	154
C1	124	0	Capturas reales de GTKWave (3 vistas del mismo `out/canny_wave.vcd`)	jpeg	1361	828	149
C1	126	0	Parte 32 — Verificación por simulación de Canny 1-salto (iverilog): el	png	916	1131	49
C1	128	0	Señales del motor (`hysteresis_frame_bram_sync`)	png	1389	646	24
C1	130	0	Capturas reales de GTKWave — el motor transitivo (de `out/trans_wave.v	jpeg	1361	828	103
C1	131	0	Capturas reales de GTKWave — el motor transitivo (de `out/trans_wave.v	jpeg	1361	828	109
C1	133	0	Parte 34 — Verificación por simulación de Canny transitivo (iverilog):	png	965	1190	77
C1	135	0	Canny transitivo direccional (+DIR=0..7) — usa el MOTOR real por direc	png	977	1690	145
C1	136	0	Canny transitivo direccional (+DIR=0..7) — usa el MOTOR real por direc	png	977	1690	128
C1	137	0	Canny transitivo direccional (+DIR=0..7) — usa el MOTOR real por direc	png	977	1690	124
C1	141	0	Verificación — IDÉNTICO bit-a-bit al golden, en los 3 modos × 5 imágen	png	1078	740	48
C1	150	0	Cómo se reparte en tu tesis	jpeg	1183	724	74
C1	155	0	El top del SoC — `cam_filter_soc.v`	png	1078	740	50
C1	157	0	4⃣ Resultado — ¡CABE!	png	1056	449	28
C1	166	0	El módulo — `sobel160_spram.v`	png	1042	989	100
C1	168	0	El módulo transitivo — `canny_trans_160_spram.v`	png	1042	989	99
C1	174	0	El top — `femto_filter_soc.v`	png	790	419	17
C1	176	0	El experimento del SoC — 5 imágenes × 3 filtros @160×120	png	1042	989	100
C1	178	0	El experimento (5 imágenes × 3 filtros, salida del SoC)	png	1042	989	99
C1	182	0	2) De la foto al borde — Sobel del SoC en las 5 imágenes	png	1289	541	20
C1	183	0	2) De la foto al borde — Sobel del SoC en las 5 imágenes	png	1256	440	55
C1	185	0	Constancia de la corrida en la **VM Ubuntu** (Icarus 14.0, aarch64)	png	1229	889	87
C1	187	0	La lección (un bug real y cómo se cazó)	png	787	490	14
C1	190	0	Y sigue correcto	png	989	396	13
C1	193	0	Resultado	jpeg	1339	409	95
C1	196	0	Verificado en Icarus (cadena completa, antes de grabar)	png	590	430	5
C1	198	0	Resultado	jpeg	1389	425	112
C1	203	0	El SoC `cam_trans_soc.v` (194 líneas): cámara + FemtoRV32 + buffers + 	png	584	449	9
C1	210	0	El resultado físico	jpeg	969	449	62
C1	213	0	Los TRES filtros, en la iCE40UP5K	png	610	470	8
C1	215	0	Lo que lo hizo verse bien en la placa	jpeg	1389	402	110
C1	217	0	¿Qué es `wdat[7:0]` (el dato que se escribe al framebuffer)?	jpeg	1316	541	121
C1	218	0	¿Qué es `wdat[7:0]` (el dato que se escribe al framebuffer)?	jpeg	1316	541	130
C1	220	0	La cadena completa del Canny1 (lo que cuentan las 4 ondas)	jpeg	1286	530	115
C1	221	0	La cadena completa del Canny1 (lo que cuentan las 4 ondas)	jpeg	1286	530	116
C1	222	0	La cadena completa del Canny1 (lo que cuentan las 4 ondas)	jpeg	1286	530	124
C1	223	0	La cadena completa del Canny1 (lo que cuentan las 4 ondas)	jpeg	1286	530	125
C1	225	0	La máquina de estados por-cuadro (la figura de abajo)	png	1089	790	19
C1	227	0	Las ondas reales del GTKWAVE — la FSM ejecutándose (`soc_trans_wave.vc	jpeg	1203	650	83
C1	228	0	Las ondas reales del GTKWAVE — la FSM ejecutándose (`soc_trans_wave.vc	jpeg	1203	650	80
C1	229	0	Las ondas reales del GTKWAVE — la FSM ejecutándose (`soc_trans_wave.vc	jpeg	1203	650	82
C1	230	0	Las ondas reales del GTKWAVE — la FSM ejecutándose (`soc_trans_wave.vc	jpeg	1203	650	100
C1	232	0	6. Conclusión general del trabajo	png	1289	409	19
C1	234	0	Por qué las dos tesis se necesitan	png	1239	449	21
C1	236	0	5. La opinión de "20 científicos" (panel imaginario, consenso)	png	1090	470	16
C1	238	0	6. Conclusión general	png	1339	380	23
C1	239	0	6. Conclusión general	png	940	449	12
C1	241	0	El plan concreto (por fases)	png	1139	490	15
